order_id,Order Date,Region,Product,Units Sold,Unit Price,Profit Margin,Customer Age
1001,2024-01-15,North America,Widget A,10,"$1,200.00",15%,34
1002,01/22/2024,north america,Widget A,15,$999.99,0.12,29
1003,"Feb 3, 2024",N. America,Gadget Pro,5,$2.5k,18%,45
1004,2024.02.10,EUROPE,Widget B,20,"$1,500",22%,
1005,15-Mar-2024,europe,Widget B,,$750,0.20,38
1006,2024-03-22,Europe,gadget pro,8,$1200,16%,52
1007,04/05/2024,Asia Pacific,Thingamajig,12,$450,0.10,28
1008,"April 12, 2024",asia pacific, Widget A ,10,"$1,200",15%,34
1009,2024-04-20,APAC,Widget A,7,"$1,200",18%,41
1010,2024-05-01,LATAM,Gadget Pro,3,$2500,0.25,33
1011,05/10/2024,latam,Thingamajig,15,$425,12%,29
1012,"May 18, 2024",North America,Widget B,18,"$1,450",0.21,47
1013,2024-06-02,north america,widget b,22,$1500,22%,
1014,06/15/2024,europe,Widget A,11,$1200,16%,36
1015,"Jun 28, 2024",Europe,Gadget Pro,4,$2800,28%,55
1016,2024-07-04,N. America,Thingamajig,9,$425,0.08,31
1017,07/19/2024,Asia Pacific,Widget A,13,$1100,14%,40
1018,"Jul 30, 2024",apac,Gadget Pro,2,$2.5k,0.22,48
1019,2024-08-12,LATAM,Widget B,17,"$1,400",0.19,33
1020,08/25/2024,Latam,Thingamajig ,20,$400,15%,
1021,2024-09-08,North America,Widget A,8,"$1,250",17%,29
1022,"Sep 18, 2024",Europe,Gadget Pro,6,$2700,24%,51
1023,2024-10-02,Asia Pacific,Widget B,25,$1450,0.23,42
1024,10/15/2024,LATAM,Widget A,5,$1150,14%,37
1025,"Nov 1, 2024",North America,Thingamajig,11,$425,missing,28
1026,2024-11-15,europe,Gadget Pro,7,$2600,23%,
1027,11/28/2024,Europe,Widget B,19,$1500,0.22,49
1028,2024-12-05,Asia Pacific,Widget A,14,"$1,200",16%,35
1029,"Dec 18, 2024",APAC,Gadget Pro,3,$2800,26%,50
1030,2024-12-30,LATAM,Widget B,16,$1400,18%,38
1031,2024-07-04,N. America,Refund-Gadget Pro,1,(50),-5%,31
1003,"Feb 3, 2024",N. America,Gadget Pro,5,$2.5k,18%,45
1015,"Jun 28, 2024",Europe,Gadget Pro,4,$2800,28%,55
